metabolite_accession	MetaboliteName	chemical_formula	protein_accession	ProteinName	UniProt	protein_type	GeneName
HMDB0000001	1-Methylhistidine	C7H11N3O2	HMDBP00473	Beta-Ala-His dipeptidase	Q96KN2	Unknown	Cndp1
HMDB0000001	1-Methylhistidine	C7H11N3O2	HMDBP00474	Protein arginine N-methyltransferase 3	O60678	Unknown	Prmt3
HMDB0000002	1,3-Diaminopropane	C3H10N2	HMDBP00217	Spermine synthase	P52788	Enzyme	Sms
HMDB0000002	1,3-Diaminopropane	C3H10N2	HMDBP00219	Deoxyhypusine synthase	P49366	Unknown	Dhps
HMDB0000002	1,3-Diaminopropane	C3H10N2	HMDBP00393	Membrane primary amine oxidase	Q16853	Unknown	G6pc1
HMDB0000002	1,3-Diaminopropane	C3H10N2	HMDBP00420	S-adenosylmethionine decarboxylase proenzyme	P17707	Unknown	Amd1
HMDB0000002	1,3-Diaminopropane	C3H10N2	HMDBP01034	Ornithine decarboxylase	P11926	Enzyme	Odc1
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP00012	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	P11177	Enzyme	Pdhb
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP00046	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	P08559	Enzyme	Pdha1l1
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP00299	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	P21953	Enzyme	Bckdhb
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP00300	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	P12694	Unknown	Bckdha
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP00439	2-oxoglutarate dehydrogenase, mitochondrial	Q02218	Enzyme	Ogdh
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP00538	Cystathionine gamma-lyase	P32929	Enzyme	Cth
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP00671	L-serine dehydratase/L-threonine deaminase	P20132	Enzyme	Sds
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP00914	Urocanate hydratase	Q96N76	Unknown	Uroc1
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP03577	L-lactate dehydrogenase B chain	P07195	Unknown	Ldhb
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP03578	L-lactate dehydrogenase C chain	P07864	Unknown	Ldhc
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP03581	L-lactate dehydrogenase A-like 6B	Q9BYZ2	Unknown	Ldhal6b
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP03654	Trimethyllysine dioxygenase, mitochondrial	Q9NVH6	Unknown	Tmlhe
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP08668	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2	Q6NS38	Unknown	Alkbh2
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP08669	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	Q96Q83	Unknown	Alkbh3
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP08972	Serine dehydratase-like	Q96GA7	Enzyme	Sdsl
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP09100	2-oxoglutarate dehydrogenase-like, mitochondrial	Q9ULD0	Enzyme	Ogdhl
HMDB0000005	2-Ketobutyric acid	C4H6O3	HMDBP09101	2-oxoglutarate receptor 1	Q96P68	Unknown	Oxgr1
HMDB0000008	2-Hydroxybutyric acid	C4H8O3	HMDBP00054	Dihydrolipoyl dehydrogenase, mitochondrial	P09622	Unknown	Dld
HMDB0000008	2-Hydroxybutyric acid	C4H8O3	HMDBP00355	Sulfotransferase family cytosolic 2B member 1	O00204	Enzyme	Sult2b1
HMDB0000008	2-Hydroxybutyric acid	C4H8O3	HMDBP00483	UDP-glucuronosyltransferase 1-1	P22309	Enzyme	Ugt1a5
HMDB0000008	2-Hydroxybutyric acid	C4H8O3	HMDBP03577	L-lactate dehydrogenase B chain	P07195	Unknown	Ldhb
HMDB0000008	2-Hydroxybutyric acid	C4H8O3	HMDBP03578	L-lactate dehydrogenase C chain	P07864	Unknown	Ldhc
HMDB0000008	2-Hydroxybutyric acid	C4H8O3	HMDBP03581	L-lactate dehydrogenase A-like 6B	Q9BYZ2	Unknown	Ldhal6b
HMDB0000010	2-Methoxyestrone	C19H24O3	HMDBP00272	Catechol O-methyltransferase	P21964	Unknown	Comt
HMDB0000010	2-Methoxyestrone	C19H24O3	HMDBP00482	UDP-glucuronosyltransferase 2A1	Q9Y4X1	Enzyme	Ugt2a1
HMDB0000010	2-Methoxyestrone	C19H24O3	HMDBP00483	UDP-glucuronosyltransferase 1-1	P22309	Enzyme	Ugt1a5
HMDB0000010	2-Methoxyestrone	C19H24O3	HMDBP01623	Sex hormone-binding globulin	P04278	Enzyme	Shbg
HMDB0000010	2-Methoxyestrone	C19H24O3	HMDBP07348	UDP-glucuronosyltransferase 2A3	Q6UWM9	Enzyme	Ugt2a3
HMDB0000011	3-Hydroxybutyric acid	C4H8O3	HMDBP00355	Sulfotransferase family cytosolic 2B member 1	O00204	Enzyme	Sult2b1
HMDB0000011	3-Hydroxybutyric acid	C4H8O3	HMDBP00483	UDP-glucuronosyltransferase 1-1	P22309	Enzyme	Ugt1a5
HMDB0000011	3-Hydroxybutyric acid	C4H8O3	HMDBP00540	D-beta-hydroxybutyrate dehydrogenase, mitochondrial	Q02338	Unknown	Bdh1
HMDB0000011	3-Hydroxybutyric acid	C4H8O3	HMDBP07259	3-hydroxybutyrate dehydrogenase type 2	Q9BUT1	Unknown	Bdh2
HMDB0000012	Deoxyuridine	C9H12N2O5	HMDBP03814	Thymidine kinase, cytosolic	P04183	Enzyme	AC112350.1
HMDB0000012	Deoxyuridine	C9H12N2O5	HMDBP03815	Thymidine kinase 2, mitochondrial	O00142	Enzyme	Tk2
HMDB0000012	Deoxyuridine	C9H12N2O5	HMDBP03818	Thymidine phosphorylase	P19971	Enzyme	Tymp
HMDB0000012	Deoxyuridine	C9H12N2O5	HMDBP05584	Cytidine deaminase	P32320	Unknown	Cda
HMDB0000012	Deoxyuridine	C9H12N2O5	HMDBP07410	Uridine-cytidine kinase-like 1	Q9NWZ5	Enzyme	Uckl1
HMDB0000014	Deoxycytidine	C9H13N3O4	HMDBP00001	5'-nucleotidase	P21589	Unknown	Nt5e
HMDB0000014	Deoxycytidine	C9H13N3O4	HMDBP00004	Cytosolic 5'-nucleotidase 1B	Q96P26	Unknown	Nt5c1b
HMDB0000014	Deoxycytidine	C9H13N3O4	HMDBP00005	Cytosolic 5'-nucleotidase 1A	Q9BXI3	Unknown	Nt5c1a
HMDB0000014	Deoxycytidine	C9H13N3O4	HMDBP00006	5'(3')-deoxyribonucleotidase, cytosolic type	Q8TCD5	Unknown	Nt5c
HMDB0000014	Deoxycytidine	C9H13N3O4	HMDBP00007	Deoxycytidine kinase	P27707	Enzyme	Dck
HMDB0000014	Deoxycytidine	C9H13N3O4	HMDBP00008	5'(3')-deoxyribonucleotidase, mitochondrial	Q9NPB1	Unknown	Nt5m
HMDB0000014	Deoxycytidine	C9H13N3O4	HMDBP05584	Cytidine deaminase	P32320	Unknown	Cda
HMDB0000014	Deoxycytidine	C9H13N3O4	HMDBP07410	Uridine-cytidine kinase-like 1	Q9NWZ5	Enzyme	Uckl1
HMDB0000015	Cortexolone	C21H30O4	HMDBP02638	Mineralocorticoid receptor	P08235	Unknown	Nr3c2
HMDB0000015	Cortexolone	C21H30O4	HMDBP04403	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1	P14060	Unknown	Hsd3b1
HMDB0000015	Cortexolone	C21H30O4	HMDBP04404	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2	P26439	Unknown	Hsd3b1
HMDB0000015	Cortexolone	C21H30O4	HMDBP09242	Cytochrome P450, family 21, subfamily A, polypeptide 2	Q08AG9	Enzyme	Cyp21a1
HMDB0000015	Cortexolone	C21H30O4	HMDBP11648	Steroid 21-hydroxylase	P08686	Unknown	Cyp21a1
HMDB0000016	Deoxycorticosterone	C21H30O3	HMDBP02638	Mineralocorticoid receptor	P08235	Unknown	Nr3c2
HMDB0000016	Deoxycorticosterone	C21H30O3	HMDBP04403	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1	P14060	Unknown	Hsd3b1
HMDB0000016	Deoxycorticosterone	C21H30O3	HMDBP04404	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2	P26439	Unknown	Hsd3b1
HMDB0000016	Deoxycorticosterone	C21H30O3	HMDBP09242	Cytochrome P450, family 21, subfamily A, polypeptide 2	Q08AG9	Enzyme	Cyp21a1
HMDB0000016	Deoxycorticosterone	C21H30O3	HMDBP11648	Steroid 21-hydroxylase	P08686	Unknown	Cyp21a1
