Colname	Variable	Type	NodeColor	NodeSize
Name_map	feature_ID	Name		
ChEBI	ChEBI	Metabolite		
HMDB lip	HMDB_Lip	Metabolite		
KEGG	KEGG	Metabolite		
HMDB accession	HMDB	Metabolite		
Ensembl	Ensembl	Gene		
Uniprot	Uniprot	Gene		
8_adj pval	adj_p_value_female_8w	Condition 8		
8_logFC	logFC_female_8w	Condition 8	Color8	Size8
8_pval	p_value_female_8w	Condition 8		
8_significance	significance_female_8w	Condition 8		
7_adj pval	adj_p_value_female_4w	Condition 7		
7_logFC	logFC_female_4w	Condition 7	Color7	Size7
7_pval	p_value_female_4w	Condition 7		
7_significance	significance_female_4w	Condition 7		
6_adj pval	adj_p_value_female_2w	Condition 6		
6_logFC	logFC_female_2w	Condition 6	Color6	Size6
6_pval	p_value_female_2w	Condition 6		
6_significance	significance_female_2w	Condition 6		
5_adj pval	adj_p_value_female_1w	Condition 5		
5_logFC	logFC_female_1w	Condition 5	Color5	Size5
5_pval	p_value_female_1w	Condition 5		
5_significance	significance_female_1w	Condition 5		
4_adj pval	adj_p_value_male_8w	Condition 4		
4_logFC	logFC_male_8w	Condition 4	Color4	Size4
4_pval	p_value_male_8w	Condition 4		
4_significance	significance_male_8w	Condition 4		
3_adj pval	adj_p_value_male_4w	Condition 3		
3_logFC	logFC_male_4w	Condition 3	Color3	Size3
3_pval	p_value_male_4w	Condition 3		
3_significance	significance_male_4w	Condition 3		
2_adj pval	adj_p_value_male_2w	Condition 2		
2_logFC	logFC_male_2w	Condition 2	Color2	Size2
2_pval	p_value_male_2w	Condition 2		
2_significance	significance_male_2w	Condition 2		
1_adj pval	adj_p_value_male_1w	Condition 1		
1_logFC	logFC_male_1w	Condition 1	Color1	Size1
1_pval	p_value_male_1w	Condition 1		
1_significance	significance_male_1w	Condition 1		
MaxSig	MaxSignificance	MaxSignificance		
Differential feature	Differential	Differential feature		
