Colname	Variable	Type
Name_map	feature_ID	Name
ChEBI	ChEBI	Metabolite
HMDB lip	HMDB_Lip	Metabolite
KEGG	KEGG	Metabolite
HMDB accession	HMDB	Metabolite
Ensembl	Ensembl	Gene
Uniprot	Uniprot	Gene
4_adj pval	adj_p_value_female_8w	Condition 4
4_logFC	logFC_female_8w	Condition 4
4_pval	p_value_female_8w	Condition 4
4_significance	significance_female_8w	Condition 4
3_adj pval	adj_p_value_female_4w	Condition 3
3_logFC	logFC_female_4w	Condition 3
3_pval	p_value_female_4w	Condition 3
3_significance	significance_female_4w	Condition 3
2_adj pval	adj_p_value_female_2w	Condition 2
2_logFC	logFC_female_2w	Condition 2
2_pval	p_value_female_2w	Condition 2
2_significance	significance_female_2w	Condition 2
1_adj pval	adj_p_value_female_1w	Condition 1
1_logFC	logFC_female_1w	Condition 1
1_pval	p_value_female_1w	Condition 1
1_significance	significance_female_1w	Condition 1
MaxSig	MaxSignificance_female	MaxSignificance
Differential feature	Differential_female	Differential feature
