mappingID1	MetaboliteName	chemical_formula	protein_accession	ProteinName	UniProt	protein_type	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	sorted_pairs	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00012	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	P11177	Enzyme	Pdhb	*	*	Enzyme	Solid	HMDB0000019_Pdhb									
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00046	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	P08559	Enzyme	Pdha1l1	*		Enzyme	Dashed	HMDB0000019_Pdha1l1									
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00055	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	P10515	Enzyme	Dlat	*	*	Enzyme	Solid	HMDB0000019_Dlat									
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00299	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	P21953	Enzyme	Bckdhb	*	*	Enzyme	Solid	HMDB0000019_Bckdhb									
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00300	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	P12694	Unknown	Bckdha	*	*	Unknown	Solid	HMDB0000019_Bckdha									
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00301	Branched-chain-amino-acid aminotransferase, cytosolic	P54687	Enzyme	Bcat1	*		Enzyme	Dashed	HMDB0000019_Bcat1									
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00516	Branched-chain-amino-acid aminotransferase, mitochondrial	O15382	Enzyme	Bcat2	*	*	Enzyme	Solid	HMDB0000019_Bcat2									
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP01111	Monocarboxylate transporter 1	P53985	Transporter	Slc16a1	*	*	Transporter	Solid	HMDB0000019_Slc16a1									
HMDB0000039	Butyric acid	C4H8O2	HMDBP01111	Monocarboxylate transporter 1	P53985	Transporter	Slc16a1		*	Transporter	Dashed	HMDB0000039_Slc16a1									
HMDB0000039	Butyric acid	C4H8O2	HMDBP08702	Acyl-coenzyme A synthetase ACSM5, mitochondrial	Q6NUN0	Unknown	Acsm5		*	Unknown	Dashed	HMDB0000039_Acsm5									
HMDB0000042	Acetic acid	C2H4O2	HMDBP00037	Acetyl-coenzyme A synthetase, cytoplasmic	Q9NR19	Enzyme	Acss2		*	Enzyme	Dashed	HMDB0000042_Acss2									
HMDB0000042	Acetic acid	C2H4O2	HMDBP00293	Alpha-aminoadipic semialdehyde dehydrogenase	P49419	Unknown	Aldh7a1		*	Unknown	Dashed	HMDB0000042_Aldh7a1									
