mappingID1	MetaboliteName	chemical_formula	protein_accession	ProteinName	UniProt	protein_type	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	sorted_pairs	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00012	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	P11177	Enzyme	Pdhb	*	*	Enzyme	Solid	HMDB0000019_Pdhb								
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00055	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	P10515	Enzyme	Dlat	*	*	Enzyme	Solid	HMDB0000019_Dlat								
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00299	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	P21953	Enzyme	Bckdhb	*	*	Enzyme	Solid	HMDB0000019_Bckdhb								
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00300	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	P12694	Unknown	Bckdha	*	*	Unknown	Solid	HMDB0000019_Bckdha								
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00516	Branched-chain-amino-acid aminotransferase, mitochondrial	O15382	Enzyme	Bcat2	*	*	Enzyme	Solid	HMDB0000019_Bcat2								
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP01111	Monocarboxylate transporter 1	P53985	Transporter	Slc16a1	*	*	Transporter	Solid	HMDB0000019_Slc16a1								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00037	Acetyl-coenzyme A synthetase, cytoplasmic	Q9NR19	Enzyme	Acss2	*	*	Enzyme	Solid	HMDB0000045_Acss2								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00194	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	O14638	Unknown	Enpp3	*	*	Unknown	Solid	HMDB0000045_Enpp3								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00293	Alpha-aminoadipic semialdehyde dehydrogenase	P49419	Unknown	Aldh7a1	*	*	Unknown	Solid	HMDB0000045_Aldh7a1								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00369	ADP-dependent glucokinase	Q9BRR6	Unknown	Adpgk	*	*	Unknown	Solid	HMDB0000045_Adpgk								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00609	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	Q07343	Unknown	Pde4b	*	*	Unknown	Solid	HMDB0000045_Pde4b								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00656	Argininosuccinate synthase	P00966	Enzyme	Ass1	*	*	Enzyme	Solid	HMDB0000045_Ass1								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP01995	Transient receptor potential cation channel subfamily M member 2	O94759	Unknown	Trpm2	*	*	Unknown	Solid	HMDB0000045_Trpm2								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP03055	Bile acyl-CoA synthetase	Q9Y2P5	Enzyme	Slc27a5	*	*	Enzyme	Solid	HMDB0000045_Slc27a5								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP07406	ACSS2 protein	Q96FY7	Enzyme	Acss2	*	*	Enzyme	Solid	HMDB0000045_Acss2								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP08702	Acyl-coenzyme A synthetase ACSM5, mitochondrial	Q6NUN0	Unknown	Acsm5	*	*	Unknown	Solid	HMDB0000045_Acsm5								
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1	*	*	Unknown	Solid	HMDB0000045_Carns1							*	
HMDB0000056	beta-Alanine	C3H7NO2	HMDBP00293	Alpha-aminoadipic semialdehyde dehydrogenase	P49419	Unknown	Aldh7a1	*	*	Unknown	Solid	HMDB0000056_Aldh7a1								
HMDB0000056	beta-Alanine	C3H7NO2	HMDBP05340	Monocarboxylate transporter 10	Q8TF71	Transporter	Slc16a10	*	*	Transporter	Solid	HMDB0000056_Slc16a10								
HMDB0000056	beta-Alanine	C3H7NO2	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1	*	*	Unknown	Solid	HMDB0000056_Carns1							*	
HMDB0000067	Cholesterol	C27H46O	HMDBP00227	Lysosomal acid lipase/cholesteryl ester hydrolase	P38571	Enzyme	Lipa	*	*	Enzyme	Solid	HMDB0000067_Lipa								
HMDB0000067	Cholesterol	C27H46O	HMDBP01620	Apolipoprotein A-I	P02647	Enzyme	Apoa1	*	*	Enzyme	Solid	HMDB0000067_Apoa1								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00084	Ectonucleoside triphosphate diphosphohydrolase 1	P49961	Unknown	Entpd1	*	*	Unknown	Solid	HMDB0000082_Entpd1								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00085	Soluble calcium-activated nucleotidase 1	Q8WVQ1	Unknown	Cant1	*	*	Unknown	Solid	HMDB0000082_Cant1								
