MappingID	Label_db	detected	SigNode	NodeType	Name_map	ChEBI	HMDB lip	KEGG	HMDB accession	Ensembl	Uniprot	8_adj pval	8_logFC	8_pval	8_significance	7_adj pval	7_logFC	7_pval	7_significance	6_adj pval	6_logFC	6_pval	6_significance	5_adj pval	5_logFC	5_pval	5_significance	4_adj pval	4_logFC	4_pval	4_significance	3_adj pval	3_logFC	3_pval	3_significance	2_adj pval	2_logFC	2_pval	2_significance	1_adj pval	1_logFC	1_pval	1_significance	MaxSig	Differential feature	Reaction.ID	Label_Sig	Color8	Color7	Color6	Color5	Color4	Color3	Color2	Color1	ColorAny	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny
4930438A08Rikl	4930438A08Rikl			GeneProduct	4930438A08Rikl																																									R00357, R00677		0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4933405O20Rikl	4933405O20Rikl			GeneProduct	4933405O20Rikl																																									R00709		0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
AABR07057436.1	AABR07057436.1	*		GeneProduct	AABR07057436.1					ENSRNOG00000004391	P55006	1	0.2586562	0.0141337	1.84974413119926	1	-0.03000603	0.8001003	-0.0968555667504163	1	0.1172069	0.3640503	0.438838606726679	1	0.1482345	0.2381243	0.623196283648375	1	-0.0002708343	0.9960776	-0.0017068262961769	1	0.1280764	0.02958989	1.52885664932	1	0.1143873	0.03086191	1.51057719956932	1	0.1375557	0.007073701	2.15035330143312	2.15035330143312		R02124		0.2586562	-0.03000603	0.1172069	0.1482345	-0.0002708343	0.1280764	0.1143873	0.1375557	0.2586562	0.2586562	0.1	0.1172069	0.1482345	0.1	0.1280764	0.1143873	0.1375557	0.2586562
Aacs	Aacs	*		GeneProduct	Aacs					ENSRNOG00000000967	Q9JMI1	1	-0.0423769838468345	0.895475487515723	-0.0479462979024574	1	0.878587345567806	0.0151612266050284	1.81926566108882	1	0.569365047070406	0.15055120198902	0.822315772764209	1	0.2118707293136	0.582426357164919	0.23475897965609	1	0.320986253143526	0.418984071862054	0.377802486899823	1	0.349986342827972	0.409342317216701	0.387913356298494	1	0.926915231913665	0.0148825847743026	1.82732163493734	1	-0.0281064853144838	0.939391120176846	-0.027153549407638	1.82732163493734		R01357		-0.0423769838468345	0.878587345567806	0.569365047070406	0.2118707293136	0.320986253143526	0.349986342827972	0.926915231913665	-0.0281064853144838	0.926915231913665	0.1	0.878587345567806	0.569365047070406	0.2118707293136	0.320986253143526	0.349986342827972	0.926915231913665	0.1	0.926915231913665
Aadac	Aadac	*	*	GeneProduct	Aadac					ENSRNOG00000013950	Q9QZH8	1	0.1649423	0.07056475	1.15141219276631	1	-0.07395815	0.4724426	-0.325650949096643	1	0.03012429	0.7880447	0.10344914746888	1	0.03534651	0.7454576	0.127577053230033	0.2319718	0.3304918	7.894915e-05	4.10265254142892	1	0.287826	0.001302848	2.88510624937711	1	0.1500584	0.06350264	1.19720821937575	1	0.1341718	0.08538651	1.06861073698467	4.10265254142892	*	R01369, R02250, R02687, R02688, R05209	Aadac	0.1649423	-0.07395815	0.03012429	0.03534651	0.3304918	0.287826	0.1500584	0.1341718	0.3304918	0.1649423	0.1	0.1	0.1	0.3304918	0.287826	0.1500584	0.1341718	0.3304918
Aadat	Aadat	*		GeneProduct	Aadat					ENSRNOG00000011861	Q64602	1	0.07433566	0.4062659	0.391189628727814	1	-0.0257742	0.7979097	-0.0980462552792556	1	-0.0141567	0.8973464	-0.047039875163362	1	0.07498112	0.4823319	0.316654014180478	1	0.1663755	0.02763673	1.55851334432855	1	0.1253377	0.120756	0.918091281262545	1	0.04282372	0.5560011	0.254924349203091	1	0.01662921	0.8125568	0.0901462708852439	1.55851334432855		R00372, R01939, R01956, R04171, R12688		0.07433566	-0.0257742	-0.0141567	0.07498112	0.1663755	0.1253377	0.04282372	0.01662921	0.1663755	0.1	0.1	0.1	0.1	0.1663755	0.1253377	0.1	0.1	0.1663755
Aanat	Aanat			GeneProduct	Aanat																																									R02911, R03760		0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Aasdhppt	Aasdhppt	*		GeneProduct	Aasdhppt					ENSRNOG00000005795	B2RYJ4	1	0.03816729	0.6258607	0.203522318472268	1	0.1787046	0.04146685	1.38229895425685	1	-0.0682431	0.4789093	-0.319746729256275	1	-0.0120839	0.8967615	-0.0473230452574957	1	-0.04400284	0.6529152	-0.185143220813082	1	-0.02052108	0.8439508	-0.0736828708048242	1	-0.1063352	0.2584553	-0.587614557568051	1	0.09485938	0.2924041	0.534016542128363	1.38229895425685		R01625		0.03816729	0.1787046	-0.0682431	-0.0120839	-0.04400284	-0.02052108	-0.1063352	0.09485938	0.1787046	0.1	0.1787046	0.1	0.1	0.1	0.1	0.1063352	0.1	0.1787046
Aass	Aass	*		GeneProduct	Aass					ENSRNOG00000039494	A2VCW9	1	0.109952	0.4632506	0.334184009512529	1	-0.3365337	0.04597627	-1.33746626543139	1	0.3414107	0.063058	1.20025980781485	1	0.2716148	0.1286055	0.890740457783699	1	0.07751622	0.7317074	0.135662552780035	1	0.4349187	0.07198546	1.1427552157834	1	-0.01827845	0.9330697	-0.0300859133866524	1	0.06939071	0.7408251	0.130284311684076	-1.33746626543139		R02313		0.109952	-0.3365337	0.3414107	0.2716148	0.07751622	0.4349187	-0.01827845	0.06939071	0.4349187	0.109952	0.3365337	0.3414107	0.2716148	0.1	0.4349187	0.1	0.1	0.4349187
Abat	Abat	*		GeneProduct	Abat					ENSRNOG00000002636	P50554	1	0.1026312	0.3849658	0.414577851091549	1	0.02673638	0.8404492	0.0754885318692792	1	-0.02755787	0.8490741	-0.0710544065560286	1	-0.002433447	0.9862204	-0.00602601831694803	1	0.15607	0.1430663	0.844462654483862	1	0.2367109	0.03772416	1.42338042183538	1	0.07475098	0.4662049	0.331423166182714	1	0.125747	0.2034355	0.691573259334428	1.42338042183538		R00908, R01648, R04188		0.1026312	0.02673638	-0.02755787	-0.002433447	0.15607	0.2367109	0.07475098	0.125747	0.2367109	0.1026312	0.1	0.1	0.1	0.15607	0.2367109	0.1	0.125747	0.2367109
