sorted_pairs	mappingID1	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny	source	Label1	Label2
1000_1658	1658	1000	*	*	Enzyme	Solid										KEGG, HMDB	CTP	Polr1a
1000_1734	1734	1000	*	*	Enzyme	Solid										KEGG, HMDB	UTP	Polr1a
1001_1658	1658	1001	*	*	Enzyme	Solid										KEGG, HMDB	CTP	Polr1b
1001_1734	1734	1001	*	*	Enzyme	Solid										KEGG, HMDB	UTP	Polr1b
1002_1658	1658	1002	*	*	Enzyme	Solid										HMDB	CTP	Polr1c
1002_1734	1734	1002	*	*	Enzyme	Solid										HMDB	UTP	Polr1c
1003_1658	1658	1003	*	*	Enzyme	Solid										HMDB	CTP	Polr1d
1003_1734	1734	1003	*	*	Enzyme	Solid										HMDB	UTP	Polr1d
1004_1658	1658	1004	*	*	Enzyme	Solid										HMDB	CTP	Polr1e
1004_1734	1734	1004	*	*	Enzyme	Solid										HMDB	UTP	Polr1e
1005_1658	1658	1005	*	*	Unknown	Solid										HMDB	CTP	Polr2a
1005_1734	1734	1005	*	*	Unknown	Solid										HMDB	UTP	Polr2a
1006_1658	1658	1006	*	*	Unknown	Solid										HMDB	CTP	Polr2b
1006_1734	1734	1006	*	*	Unknown	Solid										HMDB	UTP	Polr2b
1007_1658	1658	1007	*	*	Unknown	Solid										HMDB	CTP	Polr2c
1007_1734	1734	1007	*	*	Unknown	Solid										HMDB	UTP	Polr2c
1008_1658	1658	1008	*	*	Unknown	Solid										HMDB	CTP	Polr2d
1008_1734	1734	1008	*	*	Unknown	Solid										HMDB	UTP	Polr2d
1009_1658	1658	1009	*	*	Unknown	Solid										HMDB	CTP	Polr2e
1009_1734	1734	1009	*	*	Unknown	Solid										HMDB	UTP	Polr2e
100_156	100	156	*	*	SameComplex	Solid										Reactome	Afp	Apoa1
1010_1658	1658	1010	*	*	Unknown	Solid										HMDB	CTP	Polr2f
1010_1734	1734	1010	*	*	Unknown	Solid										HMDB	UTP	Polr2f
1011_1658	1658	1011	*	*	Unknown	Solid										HMDB	CTP	Polr2g
1011_1734	1734	1011	*	*	Unknown	Solid										HMDB	UTP	Polr2g
1012_1658	1658	1012	*	*	Unknown	Solid										HMDB	CTP	Polr2j
1012_1734	1734	1012	*	*	Unknown	Solid										HMDB	UTP	Polr2j
1015_1658	1658	1015	*	*	Enzyme	Solid										KEGG, HMDB	CTP	Polr3a
1015_1734	1734	1015	*	*	Enzyme	Solid										KEGG, HMDB	UTP	Polr3a
1016_1658	1658	1016	*	*	Enzyme	Solid										HMDB	CTP	Polr3b
1016_1734	1734	1016	*	*	Enzyme	Solid										HMDB	UTP	Polr3b
1017_1658	1658	1017	*	*	Unknown	Solid										HMDB	CTP	Polr3c
1017_1734	1734	1017	*	*	Unknown	Solid										HMDB	UTP	Polr3c
1018_1658	1658	1018	*	*	Enzyme	Solid										HMDB	CTP	Polr3d
1018_1734	1734	1018	*	*	Enzyme	Solid										HMDB	UTP	Polr3d
1019_1658	1658	1019	*	*	Unknown	Solid										HMDB	CTP	Polr3e
1019_1734	1734	1019	*	*	Unknown	Solid										HMDB	UTP	Polr3e
101_1704	1704	101	*	*	Enzyme	Solid										KEGG	Aspartic acid	Aga
1020_1658	1658	1020	*	*	Unknown	Solid										HMDB	CTP	Polr3f
1020_1734	1734	1020	*	*	Unknown	Solid										HMDB	UTP	Polr3f
1021_1658	1658	1021	*	*	Enzyme	Solid										HMDB	CTP	Polr3h
1021_1734	1734	1021	*	*	Enzyme	Solid										HMDB	UTP	Polr3h
1022_1658	1658	1022	*	*	Unknown	Solid										HMDB	CTP	Polr3k
1022_1734	1734	1022	*	*	Unknown	Solid										HMDB	UTP	Polr3k
1023_1658	1658	1023	*	*	Enzyme	Solid										HMDB	CTP	Polrmt
1023_1734	1734	1023	*	*	Enzyme	Solid										HMDB	UTP	Polrmt
1024_1739	1739	1024	*	*	Enzyme	Solid										KEGG	UDP-N-acetylglucosamine	Pomgnt2
1025_1780	1780	1025	*	*	Enzyme	Solid							*		*	HMDB	FA(14:0)	Pparg
1025_1959	1959	1025	*	*	Enzyme	Solid										HMDB	CoA(6:0)	Pparg
1026_1686	1686	1026	*	*	Enzyme	Solid										KEGG, HMDB	Glutamic acid	Ppat
1026_1760	1760	1026	*	*	Enzyme	Solid										KEGG, HMDB	Glutamine	Ppat
1027_1658	1658	1027	*	*	Enzyme	Solid										HMDB	CTP	Ppcs
1027_1756	1756	1027	*	*	Enzyme	Solid			*				*	*	*	HMDB	Cysteine	Ppcs
1028_1902	1902	1028	*	*	Enzyme	Solid										KEGG	coenzyme A	Ppt1
1029_1780	1780	1029	*	*	Enzyme	Solid							*		*	HMDB	FA(14:0)	Ppt2
1029_1902	1902	1029	*	*	Enzyme	Solid										KEGG, HMDB	coenzyme A	Ppt2
102_1294	1294	102	*	*	Enzyme or transporter	Solid										Reactome	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Agk
102_1300	1300	102	*	*	Enzyme or transporter	Solid						*	*	*	*	Reactome	MG(18:1_0:0_0:0)	Agk
