sorted_pairs	ReactionID	type1	type2	mappingID1	mappingID2	Reaction ID	Relationship	pair1	pair2	SeedNode1	SeedNode2	detectedPair1	detectedPair2	SigNode1	SigNode2	Entity1	Entity2	EdgeColor	Direction	concordant	EdgeLine	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny
11750_15354	R-RNO-1483186	output	output	11750	15354	R-RNO-1483186	Metabolite_Metabolite	PS [endoplasmic reticulum membrane]	Cho [cytosol]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	SameComplex	output_output		Solid									
11750_16000	R-RNO-1483089	output	output	11750	16000	R-RNO-1483089	Metabolite_Metabolite	PS [endoplasmic reticulum membrane]	ETA [cytosol]	*		*	*	*		SimpleEntity	SimpleEntity	SameComplex	output_output		Solid									
11750_17526	R-RNO-8867876	input	input	11750	17526	R-RNO-8867876	Metabolite_Metabolite	PS [endoplasmic reticulum membrane]	PI4P [plasma membrane]	*		*		*		SimpleEntity	SimpleEntity	SameComplex	input_input		Dashed									
11750_17984	R-RNO-1482636, R-RNO-1482691	input	output	17984	11750	R-RNO-1482636, R-RNO-1482691	Metabolite_Metabolite	acyl-CoA [cytosol]	PS [endoplasmic reticulum membrane]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
11750_33384	R-RNO-1483089, R-RNO-1483186	input	output	33384	11750	R-RNO-1483089, R-RNO-1483186	Metabolite_Metabolite	L-Ser [cytosol]	PS [endoplasmic reticulum membrane]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
11750_37646	R-RNO-1482691	input	output	37646	11750	R-RNO-1482691	Metabolite_Metabolite	2-acyl LPS [endoplasmic reticulum membrane]	PS [endoplasmic reticulum membrane]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
11750_52603	R-RNO-1482636	input	output	52603	11750	R-RNO-1482636	Metabolite_Metabolite	1-acyl LPS [endoplasmic reticulum membrane]	PS [endoplasmic reticulum membrane]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
11750_57287	R-RNO-1482636, R-RNO-1482691	output	output	11750	57287	R-RNO-1482636, R-RNO-1482691	Metabolite_Metabolite	PS [endoplasmic reticulum membrane]	CoA-SH [cytosol]	*		*		*		SimpleEntity	SimpleEntity	SameComplex	output_output		Dashed									
11750_57613	R-RNO-1483089	input	output	57613	11750	R-RNO-1483089	Metabolite_Metabolite	PE [endoplasmic reticulum membrane]	PS [endoplasmic reticulum membrane]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid									
11750_57643	R-RNO-1483186	input	output	57643	11750	R-RNO-1483186	Metabolite_Metabolite	PC [endoplasmic reticulum membrane]	PS [endoplasmic reticulum membrane]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid									
11750_B0K018	R-RNO-1602374	input	catalyst	11750	B0K018	R-RNO-1602374	Metabolite_GeneProduct	PS [plasma membrane]	Pla2g12a [extracellular region]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid									
