type1	type2	mappingID1	mappingID2	Reaction ID	Relationship	pair1	pair2	SeedNode1	SeedNode2	detectedPair1	detectedPair2	SigNode1	SigNode2	sorted_pairs	EdgeColor	EdgeLine	8_diff	7_diff	6_diff	5_diff	4_diff	3_diff	2_diff	1_diff
input	catalyst	C00049	4930438A08Rikl	R00357	Metabolite_GeneProduct	L-Aspartate	4930438A08Rikl	*		*		*		4930438A08Rikl_C00049	Enzyme	Dashed	*				*			
input	catalyst	C00078	4930438A08Rikl	R00677	Metabolite_GeneProduct	L-Tryptophan	4930438A08Rikl	*		*		*		4930438A08Rikl_C00078	Enzyme	Dashed					*			
output	catalyst	C00060	Aadac	R01369, R05209	Metabolite_GeneProduct	Carboxylate	Aadac		*		*		*	Aadac_C00060	Enzyme	Dashed					*	*		
output	catalyst	C00162	Aadac	R02250, R02687, R02688	Metabolite_GeneProduct	Fatty acid	Aadac		*		*		*	Aadac_C00162	Enzyme	Dashed					*	*		
input	catalyst	C00165	Aadac	R05209	Metabolite_GeneProduct	Diacylglycerol	Aadac		*		*		*	Aadac_C00165	Enzyme	Dashed					*	*		
input	catalyst	C00422	Aadac	R01369, R02250	Metabolite_GeneProduct	Triacylglycerol	Aadac	*	*	*	*	*	*	Aadac_C00422	Enzyme	Solid					*	*		
input	catalyst	C00641	Aadac	R02687, R02688	Metabolite_GeneProduct	1,2-Diacyl-sn-glycerol	Aadac	*	*	*	*	*	*	Aadac_C00641	Enzyme	Solid					*	*	*	*
output	catalyst	C01885	Aadac	R02687, R05209	Metabolite_GeneProduct	1-Acylglycerol	Aadac		*		*		*	Aadac_C01885	Enzyme	Dashed					*	*		
output	catalyst	C02112	Aadac	R02688	Metabolite_GeneProduct	2-Acylglycerol	Aadac		*		*		*	Aadac_C02112	Enzyme	Dashed					*	*		
output	catalyst	C00025	Abat	R00908, R01648, R04188	Metabolite_GeneProduct	L-Glutamate	Abat	*		*	*	*		Abat_C00025	Enzyme	Solid					*			
input	catalyst	C00334	Abat	R01648	Metabolite_GeneProduct	4-Aminobutanoate	Abat	*		*	*	*		Abat_C00334	Enzyme	Solid					*			
input	catalyst	C00010	Abhd5	R02241	Metabolite_GeneProduct	CoA	Abhd5	*	*	*	*	*	*	Abhd5_C00010	Enzyme	Solid	*			*				
output	catalyst	C00040	Abhd5	R02241	Metabolite_GeneProduct	Acyl-CoA	Abhd5		*		*		*	Abhd5_C00040	Enzyme	Dashed	*							
input	catalyst	C00173	Abhd5	R09381	Metabolite_GeneProduct	Acyl-[acyl-carrier protein]	Abhd5		*		*		*	Abhd5_C00173	Enzyme	Dashed	*							
output	catalyst	C00229	Abhd5	R09381	Metabolite_GeneProduct	Acyl-carrier protein	Abhd5		*		*		*	Abhd5_C00229	Enzyme	Dashed	*							
input	catalyst	C00416	Abhd5	R02241	Metabolite_GeneProduct	Phosphatidate	Abhd5		*	*	*		*	Abhd5_C00416	Enzyme	Solid	*							
input	catalyst	C00605	Abhd5	R02760	Metabolite_GeneProduct	2,3-Dehydroacyl-CoA	Abhd5		*		*		*	Abhd5_C00605	Enzyme	Dashed	*							
input	catalyst	C00681	Abhd5	R02760, R09381	Metabolite_GeneProduct	1-Acyl-sn-glycerol 3-phosphate	Abhd5		*		*		*	Abhd5_C00681	Enzyme	Dashed	*							
input	catalyst	C00010	Acaa1a	R05506, R05586, R08091, R08095	Metabolite_GeneProduct	CoA	Acaa1a	*		*	*	*		Acaa1a_C00010	Enzyme	Solid				*				
input	catalyst	C05270	Acaa1a	R04747	Metabolite_GeneProduct	Hexanoyl-CoA	Acaa1a	*		*	*	*		Acaa1a_C05270	Enzyme	Solid				*				
input	catalyst	C00010	Acaa1b	R05506, R05586, R08091, R08095	Metabolite_GeneProduct	CoA	Acaa1b	*		*		*		Acaa1b_C00010	Enzyme	Dashed				*				
input	catalyst	C05270	Acaa1b	R04747	Metabolite_GeneProduct	Hexanoyl-CoA	Acaa1b	*		*		*		Acaa1b_C05270	Enzyme	Dashed				*				
input	catalyst	C00010	Acaa2	R05506, R05586, R08091, R08095	Metabolite_GeneProduct	CoA	Acaa2	*	*	*	*	*	*	Acaa2_C00010	Enzyme	Solid				*	*			
input	catalyst	C00024	Acaa2	R00227, R00238, R00391, R00829, R00927, R01177, R03778, R03858, R03991, R04742, R04747, R07891, R07895, R07899, R07937, R07953	Metabolite_GeneProduct	Acetyl-CoA	Acaa2		*	*	*		*	Acaa2_C00024	Enzyme	Solid					*			
output	catalyst	C00033	Acaa2	R00227	Metabolite_GeneProduct	Acetate	Acaa2		*		*		*	Acaa2_C00033	Enzyme	Dashed					*			
input	catalyst	C00040	Acaa2	R00391	Metabolite_GeneProduct	Acyl-CoA	Acaa2		*		*		*	Acaa2_C00040	Enzyme	Dashed					*			
input	catalyst	C00091	Acaa2	R00829	Metabolite_GeneProduct	Succinyl-CoA	Acaa2		*		*		*	Acaa2_C00091	Enzyme	Dashed					*			
input	catalyst	C00100	Acaa2	R00927	Metabolite_GeneProduct	Propanoyl-CoA	Acaa2		*		*		*	Acaa2_C00100	Enzyme	Dashed					*			
input	catalyst	C00136	Acaa2	R01177	Metabolite_GeneProduct	Butanoyl-CoA	Acaa2		*		*		*	Acaa2_C00136	Enzyme	Dashed					*			
input	catalyst	C00154	Acaa2	R01274	Metabolite_GeneProduct	Palmitoyl-CoA	Acaa2		*		*		*	Acaa2_C00154	Enzyme	Dashed					*			
output	catalyst	C00219	Acaa2	R08183	Metabolite_GeneProduct	Arachidonate	Acaa2		*		*		*	Acaa2_C00219	Enzyme	Dashed					*			
output	catalyst	C00249	Acaa2	R01274	Metabolite_GeneProduct	Hexadecanoic acid	Acaa2		*	*	*		*	Acaa2_C00249	Enzyme	Solid					*			
output	catalyst	C00264	Acaa2	R00391	Metabolite_GeneProduct	3-Oxoacyl-CoA	Acaa2		*		*		*	Acaa2_C00264	Enzyme	Dashed					*			
output	catalyst	C00332	Acaa2	R00238	Metabolite_GeneProduct	Acetoacetyl-CoA	Acaa2		*		*		*	Acaa2_C00332	Enzyme	Dashed					*			
input	catalyst	C00412	Acaa2	R08174	Metabolite_GeneProduct	Stearoyl-CoA	Acaa2		*		*		*	Acaa2_C00412	Enzyme	Dashed					*			
input	catalyst	C00510	Acaa2	R08176	Metabolite_GeneProduct	Oleoyl-CoA	Acaa2		*		*		*	Acaa2_C00510	Enzyme	Dashed					*			
output	catalyst	C00512	Acaa2	R05506	Metabolite_GeneProduct	Benzoyl-CoA	Acaa2		*		*		*	Acaa2_C00512	Enzyme	Dashed					*			
output	catalyst	C00527	Acaa2	R05586	Metabolite_GeneProduct	Glutaryl-CoA	Acaa2		*		*		*	Acaa2_C00527	Enzyme	Dashed					*			
output	catalyst	C00638	Acaa2	R09450	Metabolite_GeneProduct	Long-chain fatty acid	Acaa2		*		*		*	Acaa2_C00638	Enzyme	Dashed					*			
output	catalyst	C00712	Acaa2	R08176	Metabolite_GeneProduct	(9Z)-Octadecenoic acid	Acaa2		*	*	*		*	Acaa2_C00712	Enzyme	Solid					*			
output	catalyst	C01530	Acaa2	R08174	Metabolite_GeneProduct	Octadecanoic acid	Acaa2		*	*	*		*	Acaa2_C01530	Enzyme	Solid					*			
output	catalyst	C01595	Acaa2	R08177	Metabolite_GeneProduct	Linoleate	Acaa2		*		*		*	Acaa2_C01595	Enzyme	Dashed					*			
input	catalyst	C01832	Acaa2	R03858	Metabolite_GeneProduct	Lauroyl-CoA	Acaa2		*		*		*	Acaa2_C01832	Enzyme	Dashed					*			
input	catalyst	C01944	Acaa2	R03778	Metabolite_GeneProduct	Octanoyl-CoA	Acaa2		*		*		*	Acaa2_C01944	Enzyme	Dashed					*			
input	catalyst	C02041	Acaa2	R08175	Metabolite_GeneProduct	Eicosanoyl-CoA	Acaa2		*	*	*		*	Acaa2_C02041	Enzyme	Solid					*			
input	catalyst	C02050	Acaa2	R08177	Metabolite_GeneProduct	Linoleoyl-CoA	Acaa2		*		*		*	Acaa2_C02050	Enzyme	Dashed					*			
output	catalyst	C02232	Acaa2	R00829	Metabolite_GeneProduct	3-Oxoadipyl-CoA	Acaa2		*		*		*	Acaa2_C02232	Enzyme	Dashed					*			
input	catalyst	C02249	Acaa2	R08183	Metabolite_GeneProduct	Arachidonyl-CoA	Acaa2		*		*		*	Acaa2_C02249	Enzyme	Dashed					*			
input	catalyst	C02593	Acaa2	R03991	Metabolite_GeneProduct	Tetradecanoyl-CoA	Acaa2		*		*		*	Acaa2_C02593	Enzyme	Dashed					*			
input	catalyst	C02843	Acaa2	R09450	Metabolite_GeneProduct	Long-chain acyl-CoA	Acaa2		*		*		*	Acaa2_C02843	Enzyme	Dashed					*			
input	catalyst	C03035	Acaa2	R08181	Metabolite_GeneProduct	gamma-Linolenoyl-CoA	Acaa2		*		*		*	Acaa2_C03035	Enzyme	Dashed					*			
output	catalyst	C03069	Acaa2	R08095	Metabolite_GeneProduct	3-Methylcrotonyl-CoA	Acaa2		*		*		*	Acaa2_C03069	Enzyme	Dashed					*			
output	catalyst	C03242	Acaa2	R08182	Metabolite_GeneProduct	Dihomo-gamma-linolenate	Acaa2		*		*		*	Acaa2_C03242	Enzyme	Dashed					*			
output	catalyst	C03344	Acaa2	R00927	Metabolite_GeneProduct	2-Methylacetoacetyl-CoA	Acaa2		*		*		*	Acaa2_C03344	Enzyme	Dashed					*			
