type1	type2	mappingID1	mappingID2	Reaction ID	Relationship	pair1	pair2	SeedNode1	SeedNode2	detectedPair1	detectedPair2	SigNode1	SigNode2	sorted_pairs	EdgeColor	EdgeLine	8_diff	7_diff	6_diff	5_diff	4_diff	3_diff	2_diff	1_diff
input	catalyst	C00422	Aadac	R01369, R02250	Metabolite_GeneProduct	Triacylglycerol	Aadac	*	*	*	*	*	*	Aadac_C00422	Enzyme	Solid					*	*		
input	catalyst	C00641	Aadac	R02687, R02688	Metabolite_GeneProduct	1,2-Diacyl-sn-glycerol	Aadac	*	*	*	*	*	*	Aadac_C00641	Enzyme	Solid					*	*	*	*
output	catalyst	C00025	Abat	R00908, R01648, R04188	Metabolite_GeneProduct	L-Glutamate	Abat	*		*	*	*		Abat_C00025	Enzyme	Solid					*			
input	catalyst	C00334	Abat	R01648	Metabolite_GeneProduct	4-Aminobutanoate	Abat	*		*	*	*		Abat_C00334	Enzyme	Solid					*			
input	catalyst	C00010	Abhd5	R02241	Metabolite_GeneProduct	CoA	Abhd5	*	*	*	*	*	*	Abhd5_C00010	Enzyme	Solid	*			*				
input	catalyst	C00416	Abhd5	R02241	Metabolite_GeneProduct	Phosphatidate	Abhd5		*	*	*		*	Abhd5_C00416	Enzyme	Solid	*							
input	catalyst	C00010	Acaa1a	R05506, R05586, R08091, R08095	Metabolite_GeneProduct	CoA	Acaa1a	*		*	*	*		Acaa1a_C00010	Enzyme	Solid				*				
input	catalyst	C05270	Acaa1a	R04747	Metabolite_GeneProduct	Hexanoyl-CoA	Acaa1a	*		*	*	*		Acaa1a_C05270	Enzyme	Solid				*				
input	catalyst	C00010	Acaa2	R05506, R05586, R08091, R08095	Metabolite_GeneProduct	CoA	Acaa2	*	*	*	*	*	*	Acaa2_C00010	Enzyme	Solid				*	*			
input	catalyst	C00024	Acaa2	R00227, R00238, R00391, R00829, R00927, R01177, R03778, R03858, R03991, R04742, R04747, R07891, R07895, R07899, R07937, R07953	Metabolite_GeneProduct	Acetyl-CoA	Acaa2		*	*	*		*	Acaa2_C00024	Enzyme	Solid					*			
output	catalyst	C00249	Acaa2	R01274	Metabolite_GeneProduct	Hexadecanoic acid	Acaa2		*	*	*		*	Acaa2_C00249	Enzyme	Solid					*			
output	catalyst	C00712	Acaa2	R08176	Metabolite_GeneProduct	(9Z)-Octadecenoic acid	Acaa2		*	*	*		*	Acaa2_C00712	Enzyme	Solid					*			
output	catalyst	C01530	Acaa2	R08174	Metabolite_GeneProduct	Octadecanoic acid	Acaa2		*	*	*		*	Acaa2_C01530	Enzyme	Solid					*			
input	catalyst	C02041	Acaa2	R08175	Metabolite_GeneProduct	Eicosanoyl-CoA	Acaa2		*	*	*		*	Acaa2_C02041	Enzyme	Solid					*			
input	catalyst	C05270	Acaa2	R04747	Metabolite_GeneProduct	Hexanoyl-CoA	Acaa2	*	*	*	*	*	*	Acaa2_C05270	Enzyme	Solid				*	*			
output	catalyst	C06425	Acaa2	R08175	Metabolite_GeneProduct	Icosanoic acid	Acaa2		*	*	*		*	Acaa2_C06425	Enzyme	Solid					*			
input	catalyst	C00016	Acadm	R01175, R01279, R03777, R03857, R03990, R04095, R04751, R04754	Metabolite_GeneProduct	FAD	Acadm	*		*	*	*		Acadm_C00016	Enzyme	Solid					*			
input	catalyst	C05270	Acadm	R04751	Metabolite_GeneProduct	Hexanoyl-CoA	Acadm	*		*	*	*		Acadm_C05270	Enzyme	Solid				*				
input	catalyst	C00016	Acads	R01175, R04751	Metabolite_GeneProduct	FAD	Acads	*		*	*	*		Acads_C00016	Enzyme	Solid					*			
input	catalyst	C05270	Acads	R04751	Metabolite_GeneProduct	Hexanoyl-CoA	Acads	*		*	*	*		Acads_C05270	Enzyme	Solid				*				
input	catalyst	C00016	Acadsb	R04751	Metabolite_GeneProduct	FAD	Acadsb	*		*	*	*		Acadsb_C00016	Enzyme	Solid					*			
input	catalyst	C05270	Acadsb	R04751	Metabolite_GeneProduct	Hexanoyl-CoA	Acadsb	*		*	*	*		Acadsb_C05270	Enzyme	Solid				*				
output	catalyst	C00010	Acat2	R00238, R00927, R01177	Metabolite_GeneProduct	CoA	Acat2	*	*	*	*	*	*	Acat2_C00010	Enzyme	Solid				*	*		*	
input	catalyst	C00024	Acat2	R00238, R00927, R01177	Metabolite_GeneProduct	Acetyl-CoA	Acat2		*	*	*		*	Acat2_C00024	Enzyme	Solid					*		*	
output	catalyst	C00114	Ache	R01026	Metabolite_GeneProduct	Choline	Ache	*		*	*	*		Ache_C00114	Enzyme	Solid	*	*			*			
input	catalyst	C01996	Ache	R01026	Metabolite_GeneProduct	Acetylcholine	Ache	*		*	*	*		Ache_C01996	Enzyme	Solid								*
input	catalyst	C00002	Acly	R00352	Metabolite_GeneProduct	ATP	Acly		*	*	*		*	Acly_C00002	Enzyme	Solid					*			
output	catalyst	C00008	Acly	R00352	Metabolite_GeneProduct	ADP	Acly		*	*	*		*	Acly_C00008	Enzyme	Solid					*			
input	catalyst	C00010	Acly	R00352	Metabolite_GeneProduct	CoA	Acly	*	*	*	*	*	*	Acly_C00010	Enzyme	Solid				*	*			
output	catalyst	C00024	Acly	R00352	Metabolite_GeneProduct	Acetyl-CoA	Acly		*	*	*		*	Acly_C00024	Enzyme	Solid					*			
input	catalyst	C00158	Acly	R00352	Metabolite_GeneProduct	Citrate	Acly		*	*	*		*	Acly_C00158	Enzyme	Solid					*			
input	catalyst	C00010	Acnat1	R03974	Metabolite_GeneProduct	CoA	Acnat1	*		*	*	*		Acnat1_C00010	Enzyme	Solid				*				
input	catalyst	C02528	Acnat1	R03974	Metabolite_GeneProduct	Chenodeoxycholate	Acnat1	*		*	*	*		Acnat1_C02528	Enzyme	Solid					*	*		
input	catalyst	C00010	Acnat2	R03974	Metabolite_GeneProduct	CoA	Acnat2	*		*	*	*		Acnat2_C00010	Enzyme	Solid				*				
input	catalyst	C02528	Acnat2	R03974	Metabolite_GeneProduct	Chenodeoxycholate	Acnat2	*		*	*	*		Acnat2_C02528	Enzyme	Solid					*	*		
input	catalyst	C00311	Aco1	R01900	Metabolite_GeneProduct	Isocitrate	Aco1	*		*	*	*		Aco1_C00311	Enzyme	Solid		*	*	*			*	*
output	catalyst	C00417	Aco1	R01325, R01900	Metabolite_GeneProduct	cis-Aconitate	Aco1	*		*	*	*		Aco1_C00417	Enzyme	Solid			*	*			*	
input	catalyst	C00311	Aco2	R01900	Metabolite_GeneProduct	Isocitrate	Aco2	*		*	*	*		Aco2_C00311	Enzyme	Solid		*	*	*			*	*
output	catalyst	C00417	Aco2	R01325, R01900	Metabolite_GeneProduct	cis-Aconitate	Aco2	*		*	*	*		Aco2_C00417	Enzyme	Solid			*	*			*	
output	catalyst	C00010	Acot7	R01274, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R09450	Metabolite_GeneProduct	CoA	Acot7	*	*	*	*	*	*	Acot7_C00010	Enzyme	Solid				*	*			
output	catalyst	C00249	Acot7	R01274	Metabolite_GeneProduct	Hexadecanoic acid	Acot7		*	*	*		*	Acot7_C00249	Enzyme	Solid					*			
output	catalyst	C00712	Acot7	R08176	Metabolite_GeneProduct	(9Z)-Octadecenoic acid	Acot7		*	*	*		*	Acot7_C00712	Enzyme	Solid					*			
output	catalyst	C01530	Acot7	R08174	Metabolite_GeneProduct	Octadecanoic acid	Acot7		*	*	*		*	Acot7_C01530	Enzyme	Solid					*			
input	catalyst	C02041	Acot7	R08175	Metabolite_GeneProduct	Eicosanoyl-CoA	Acot7		*	*	*		*	Acot7_C02041	Enzyme	Solid					*			
output	catalyst	C06425	Acot7	R08175	Metabolite_GeneProduct	Icosanoic acid	Acot7		*	*	*		*	Acot7_C06425	Enzyme	Solid					*			
input	catalyst	C00010	Acot8	R03974	Metabolite_GeneProduct	CoA	Acot8	*		*	*	*		Acot8_C00010	Enzyme	Solid				*				
output	catalyst	C00042	Acot8	R00407	Metabolite_GeneProduct	Succinate	Acot8	*		*	*	*		Acot8_C00042	Enzyme	Solid							*	
input	catalyst	C02528	Acot8	R03974	Metabolite_GeneProduct	Chenodeoxycholate	Acot8	*		*	*	*		Acot8_C02528	Enzyme	Solid					*	*		
