MappingID	Label_db	detected	SigNode	NodeType	Name_map	ChEBI	HMDB lip	KEGG	HMDB accession	Ensembl	Uniprot	8_adj pval	8_logFC	8_pval	8_log10p	8_diff	7_adj pval	7_logFC	7_pval	7_log10p	7_diff	6_adj pval	6_logFC	6_pval	6_log10p	6_diff	5_adj pval	5_logFC	5_pval	5_log10p	5_diff	4_adj pval	4_logFC	4_pval	4_log10p	4_diff	3_adj pval	3_logFC	3_pval	3_log10p	3_diff	2_adj pval	2_logFC	2_pval	2_log10p	2_diff	1_adj pval	1_logFC	1_pval	1_log10p	1_diff	MaxSig	Differential feature	Reaction.ID	Label_Sig8	Label_Sig7	Label_Sig6	Label_Sig5	Label_Sig4	Label_Sig3	Label_Sig2	Label_Sig1	Label_Sig	Color8	Color7	Color6	Color5	Color4	Color3	Color2	Color1	ColorAny	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny
4930438A08Rikl	4930438A08Rikl			GeneProduct	4930438A08Rikl																																																	R00357, R00677										0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Aadac	Aadac	*	*	GeneProduct	Aadac					ENSRNOG00000013950	Q9QZH8	1	0.1649423	0.07056475	1.15141219276631		1	-0.07395815	0.4724426	0.325650949096643		1	0.03012429	0.7880447	0.10344914746888		1	0.03534651	0.7454576	0.127577053230033		0.2319718	0.3304918	7.894915e-05	4.10265254142892	*	1	0.287826	0.001302848	2.88510624937711	*	1	0.1500584	0.06350264	1.19720821937575		1	0.1341718	0.08538651	1.06861073698467		4.10265254142892	*	R01369, R02250, R02687, R02688, R05209					Aadac	Aadac			Aadac	0.1649423	-0.07395815	0.03012429	0.03534651	0.3304918	0.287826	0.1500584	0.1341718	0.3304918	1.15141219276631	0.325650949096643	0.10344914746888	0.127577053230033	4.10265254142892	2.88510624937711	1.19720821937575	1.06861073698467	4.10265254142892
Abat	Abat	*		GeneProduct	Abat					ENSRNOG00000002636	P50554	1	0.1026312	0.3849658	0.414577851091549		1	0.02673638	0.8404492	0.0754885318692792		1	-0.02755787	0.8490741	0.0710544065560286		1	-0.002433447	0.9862204	0.00602601831694803		1	0.15607	0.1430663	0.844462654483862		1	0.2367109	0.03772416	1.42338042183538		1	0.07475098	0.4662049	0.331423166182714		1	0.125747	0.2034355	0.691573259334428		1.42338042183538		R00908, R01648, R04188										0.1026312	0.02673638	-0.02755787	-0.002433447	0.15607	0.2367109	0.07475098	0.125747	0.2367109	0.414577851091549	0.1	0.1	0.1	0.844462654483862	1.42338042183538	0.331423166182714	0.691573259334428	1.42338042183538
Abhd5	Abhd5	*	*	GeneProduct	Abhd5					ENSRNOG00000000221	Q6QA69	0.444356238724971	0.382940292359465	0.000196790432161753	3.70599602054068	*	1	-0.0251484049554801	0.828774682278664	0.0815635243877103		1	0.244461782251012	0.0529840643933099	1.2758547301482		1	0.175349021589061	0.153103499646853	0.815014882064992		1	0.369099311375438	0.0668994733098816	1.17457730135792		1	-0.0862611838445028	0.689233333836887	0.161633726651545		1	0.115834463219815	0.550489696854476	0.259250805013975		1	-0.00274936258700952	0.988277324246939	0.0051211692889453		3.70599602054068	*	R02241, R02760, R09381	Abhd5								Abhd5	0.382940292359465	-0.0251484049554801	0.244461782251012	0.175349021589061	0.369099311375438	-0.0862611838445028	0.115834463219815	-0.00274936258700952	0.382940292359465	3.70599602054068	0.1	1.2758547301482	0.815014882064992	1.17457730135792	0.161633726651545	0.259250805013975	0.1	3.70599602054068
Acaa1a	Acaa1a	*		GeneProduct	Acaa1a					ENSRNOG00000032908	P21775	1	0.0614007	0.3790285	0.421328133231451		1	-0.0744485	0.3430137	0.464688533847661		1	-0.08306993	0.3318069	0.479114586965163		1	0.01083179	0.8964676	0.047465402025378		1	0.00984451	0.8660257	0.0624692197579743		1	-0.05169087	0.4074925	0.389880380147536		1	-0.02941215	0.6003364	0.221605323410941		1	-0.01028795	0.8491694	0.0710056641181287		-0.479114586965163		R00238, R00391, R00829, R00927, R01177, R03778, R03858, R03991, R04742, R04747, R05506, R05586, R07891, R07895, R07899, R07937, R07953, R08091, R08095										0.0614007	-0.0744485	-0.08306993	0.01083179	0.00984451	-0.05169087	-0.02941215	-0.01028795	-0.08306993	0.421328133231451	0.464688533847661	0.479114586965163	0.1	0.1	0.389880380147536	0.221605323410941	0.1	0.479114586965163
Acaa1b	Acaa1b			GeneProduct	Acaa1b																																																	R00238, R00391, R00829, R00927, R01177, R03778, R03858, R03991, R04742, R04747, R05506, R05586, R07891, R07895, R07899, R07937, R07953, R08091, R08095										0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Acaa2	Acaa2	*	*	GeneProduct	Acaa2					ENSRNOG00000013766	P13437	1	-0.1455736	0.1304377	0.884596867686649		1	-0.08953693	0.4077525	0.389603367546114		1	-0.174232	0.139406	0.855718533907917		1	-0.1539831	0.1795223	0.745881596303447		0.5505528	-0.2656757	0.0002675719	3.57255949746522	*	1	-0.1139368	0.1436961	0.842555018723561		1	-0.04066113	0.5619792	0.250279758260819		1	-0.06451889	0.3398458	0.468718092956947		-3.57255949746522	*	R00227, R00238, R00391, R00829, R00927, R01177, R01274, R03778, R03858, R03991, R04742, R04747, R05506, R05586, R07891, R07895, R07899, R07937, R07953, R08091, R08095, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R09450					Acaa2				Acaa2	-0.1455736	-0.08953693	-0.174232	-0.1539831	-0.2656757	-0.1139368	-0.04066113	-0.06451889	-0.2656757	0.884596867686649	0.389603367546114	0.855718533907917	0.745881596303447	3.57255949746522	0.842555018723561	0.250279758260819	0.468718092956947	3.57255949746522
Acadm	Acadm	*		GeneProduct	Acadm					ENSRNOG00000009845	P08503	1	-0.03548244	0.6252631	0.203937200520108		1	-0.07488671	0.3590803	0.44480842064942		1	-0.03757211	0.6729272	0.172031916977255		1	0.0004954337	0.9954356	0.00198683153745798		1	-0.1124509	0.0513181	1.28972943130706		1	-0.07410026	0.2296597	0.63891520682124		1	-0.07211981	0.1938911	0.712442125473117		1	0.01342874	0.8018136	0.0959265817162496		-1.28972943130706		R01175, R01279, R03777, R03857, R03990, R04095, R04751, R04754										-0.03548244	-0.07488671	-0.03757211	0.0004954337	-0.1124509	-0.07410026	-0.07211981	0.01342874	-0.1124509	0.203937200520108	0.44480842064942	0.172031916977255	0.1	1.28972943130706	0.63891520682124	0.712442125473117	0.1	1.28972943130706
Acads	Acads	*		GeneProduct	Acads					ENSRNOG00000001177	P15651	1	0.122672184171496	0.060501484888991	1.21823396631974		1	-0.0418150894582754	0.5698027171686	0.244275484109326		1	-0.0312397549610627	0.697041022968681	0.156741661608368		1	0.10176534260138	0.191793919287765	0.717165165995554		1	-0.0706612890325638	0.176177187171482	0.754050328199592		1	-0.0758645287560559	0.173989695097836	0.759476472951165		1	-0.00985938271921884	0.844148975161277	0.0735809024488601		1	0.0322246689080585	0.504558804106914	0.297088211367804		1.21823396631974		R01175, R04751										0.122672184171496	-0.0418150894582754	-0.0312397549610627	0.10176534260138	-0.0706612890325638	-0.0758645287560559	-0.00985938271921884	0.0322246689080585	0.122672184171496	1.21823396631974	0.244275484109326	0.156741661608368	0.717165165995554	0.754050328199592	0.759476472951165	0.1	0.297088211367804	1.21823396631974
Acadsb	Acadsb	*		GeneProduct	Acadsb					ENSRNOG00000020624	P70584	1	0.1969201	0.009395194	2.02709424778702		1	0.194252	0.02266125	1.64471613802382		1	-0.03848628	0.6793117	0.167930905353804		1	0.009564986	0.9157843	0.038206806191388		1	-0.1228421	0.1806097	0.743258928754806		1	-0.01691593	0.8628938	0.0640426514598557		1	-0.05452698	0.5363449	0.270555844644236		1	0.009358793	0.9122668	0.0398781300678755		2.02709424778702		R04751										0.1969201	0.194252	-0.03848628	0.009564986	-0.1228421	-0.01691593	-0.05452698	0.009358793	0.1969201	2.02709424778702	1.64471613802382	0.167930905353804	0.1	0.743258928754806	0.1	0.270555844644236	0.1	2.02709424778702
