sorted_pairs	mappingID1	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	8_diff	7_diff	6_diff	5_diff	4_diff	3_diff	2_diff	1_diff	source	Label1	Label2
1000_1207	1000	1207		*	Metabolic Transformation	Dashed					*				Reactome, KEGG	2-acyl LPC	sn-Glycero-3-phosphocholine
1000_1277	1277	1000	*		Metabolic Transformation	Dashed							*	*	KEGG	vitamin A	2-acyl LPC
100_101	100	101	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoa2
100_102	100	102	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoa4
100_103	100	103	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoa5
100_104	104	100	*	*	SameComplex	Solid	*				*				Reactome	Apob	Apoa1
100_105	100	105	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoc2
100_106	100	106	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoc3
100_1068	100	1068	*		Others	Dashed	*				*				Reactome	Apoa1	HSPG
100_107	100	107	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoe
100_108	100	108	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Apol2
100_109	100	109	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apol9a
100_111	100	111	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	App
100_1120	1120	100		*	SameComplex	Dashed	*				*				Reactome	PL	Apoa1
100_1164	1164	100		*	Enzyme	Dashed	*				*				HMDB	Trierucin	Apoa1
100_1178	100	1178	*		SameComplex	Dashed	*				*				Reactome	Apoa1	atR-LINA
100_1179	100	1179	*		SameComplex	Dashed	*				*				Reactome	Apoa1	atR-OLEA
100_1180	100	1180	*		SameComplex	Dashed	*				*				Reactome	Apoa1	atR-STEA
100_1201	100	1201	*	*	Enzyme	Solid	*				*				Reactome, HMDB	Apoa1	cholesterol
100_1280	100	1280	*		SameComplex	Dashed	*				*				Reactome	Apoa1	ATP
100_1370	100	1370	*		SameComplex	Dashed	*				*				Reactome	Apoa1	ADP
100_1443	100	1443	*		SameComplex	Dashed	*				*				Reactome	Apoa1	atR-PALM
100_175	100	175	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Bmp15
100_176	100	176	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Bmp4
100_177	100	177	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Bpifb2
100_179	100	179	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	C3
100_180	100	180	*		SameComplex	Dashed	*				*				Reactome	Apoa1	C4b
100_186	100	186	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Ccn1
100_193	100	193	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Cdh2
100_204	100	204	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Chgb
100_208	100	208	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Chrdl1
100_213	100	213	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Ckap4
100_242	100	242	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Cp
100_250	100	250	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Csf1
100_253	100	253	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Cst3
100_276	100	276	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Dmp1
100_277	100	277	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Dnajc3
100_298	100	298	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Enam
100_313	313	100	*	*	SameComplex	Solid	*				*				Reactome	Fam20c	Apoa1
100_318	100	318	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fbn1
100_321	100	321	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fga
100_322	100	322	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Fgf23
100_323	100	323	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fgg
100_331	100	331	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fn1
100_334	100	334	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fstl1
100_335	100	335	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fstl3
100_336	100	336	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fuca2
