sorted_pairs	mappingID1	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	8_diff	7_diff	6_diff	5_diff	4_diff	3_diff	2_diff	1_diff	source	Label1	Label2
100_101	100	101	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoa2
100_102	100	102	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoa4
100_103	100	103	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoa5
100_104	104	100	*	*	SameComplex	Solid	*				*				Reactome	Apob	Apoa1
100_105	100	105	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoc2
100_106	100	106	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoc3
100_107	100	107	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apoe
100_109	100	109	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Apol9a
100_111	100	111	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	App
100_1201	100	1201	*	*	Enzyme	Solid	*				*				Reactome, HMDB	Apoa1	cholesterol
100_176	100	176	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Bmp4
100_179	100	179	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	C3
100_186	100	186	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Ccn1
100_193	100	193	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Cdh2
100_208	100	208	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Chrdl1
100_213	100	213	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Ckap4
100_242	100	242	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Cp
100_250	100	250	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Csf1
100_253	100	253	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Cst3
100_277	100	277	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Dnajc3
100_313	313	100	*	*	SameComplex	Solid	*				*				Reactome	Fam20c	Apoa1
100_318	100	318	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fbn1
100_321	100	321	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fga
100_323	100	323	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fgg
100_331	100	331	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Fn1
