sorted_pairs	ReactionID	type1	type2	mappingID1	mappingID2	Reaction ID	Relationship	pair1	pair2	SeedNode1	SeedNode2	detectedPair1	detectedPair2	SigNode1	SigNode2	Entity1	Entity2	EdgeColor	Direction	concordant	EdgeLine	8_diff	7_diff	6_diff	5_diff	4_diff	3_diff	2_diff	1_diff
11750_15354	R-RNO-1483186	output	output	11750	15354	R-RNO-1483186	Metabolite_Metabolite	PS [endoplasmic reticulum membrane]	Cho [cytosol]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	SameComplex	output_output		Solid	*	*	*		*			*
11750_16000	R-RNO-1483089	output	output	11750	16000	R-RNO-1483089	Metabolite_Metabolite	PS [endoplasmic reticulum membrane]	ETA [cytosol]	*		*	*	*		SimpleEntity	SimpleEntity	SameComplex	output_output		Solid			*					*
11750_57613	R-RNO-1483089	input	output	57613	11750	R-RNO-1483089	Metabolite_Metabolite	PE [endoplasmic reticulum membrane]	PS [endoplasmic reticulum membrane]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid			*		*			*
11750_57643	R-RNO-1483186	input	output	57643	11750	R-RNO-1483186	Metabolite_Metabolite	PC [endoplasmic reticulum membrane]	PS [endoplasmic reticulum membrane]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid	*		*		*			*
11750_B0K018	R-RNO-1602374	input	catalyst	11750	B0K018	R-RNO-1602374	Metabolite_GeneProduct	PS [plasma membrane]	Pla2g12a [extracellular region]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid			*					*
11750_B2GV22	R-RNO-1483089	output	catalyst	11750	B2GV22	R-RNO-1483089	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Ptdss2 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	output_catalyst		Solid			*					*
11750_D3ZR52	R-RNO-1482636, R-RNO-1482691	output	catalyst	11750	D3ZR52	R-RNO-1482636, R-RNO-1482691	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Lpcat4 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid			*					*
11750_D4A1I6	R-RNO-1482771	input	catalyst	11750	D4A1I6	R-RNO-1482771	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Pla2g4b [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid			*					*
11750_F1LV18	R-RNO-1482636, R-RNO-1482691	output	catalyst	11750	F1LV18	R-RNO-1482636, R-RNO-1482691	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Mboat1 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid			*					*
11750_F7F420	R-RNO-1602374	input	catalyst	11750	F7F420	R-RNO-1602374	Metabolite_GeneProduct	PS [plasma membrane]	PLA2G2D [extracellular region]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid			*					*
