NetworkID_All	Name_map	NetworkID	MappingID	Label_db	detected	NodeType	ChEBI	HMDB.lip	KEGG	HMDB.accession	Ensembl	Uniprot	X8_adj.pval	X8_logFC	X8_pval	X8_significance	X7_adj.pval	X7_logFC	X7_pval	X7_significance	X6_adj.pval	X6_logFC	X6_pval	X6_significance	X5_adj.pval	X5_logFC	X5_pval	X5_significance	X4_adj.pval	X4_logFC	X4_pval	X4_significance	X3_adj.pval	X3_logFC	X3_pval	X3_significance	X2_adj.pval	X2_logFC	X2_pval	X2_significance	X1_adj.pval	X1_logFC	X1_pval	X1_significance	MaxSig	Differential.feature	Label_Sig	Color8	Color7	Color6	Color5	Color4	Color3	Color2	Color1	ColorAny	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny	ID	Map_No	Name	name
1	4930438A08Rikl	K1	4930438A08Rikl	4930438A08Rikl		GeneProduct																																										0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
2	4933405O20Rikl	K2	4933405O20Rikl	4933405O20Rikl		GeneProduct																																										0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
3	AABR07015507.1	R185	C0HLM6	Smim20	*	GeneProduct					ENSRNOG00000051190	C0HLM6	1	-0.04356946	0.7550349	-0.122032973500461	1	-0.1631262	0.3014732	-0.52075128919361	1	0.1565269	0.3602712	0.443370453894629	1	0.09654189	0.5617253	0.250476015143	1	0.2667245	0.07880348	1.10345460343144	1	0.0737464	0.6510626	0.186377251788934	1	0.2304272	0.1148077	0.940028983406973	1	0.1233985	0.3826284	0.417222798277515	1.10345460343144			-0.04356946	-0.1631262	0.1565269	0.09654189	0.2667245	0.0737464	0.2304272	0.1233985	0.2667245	0.1	0.1631262	0.1565269	0.1	0.2667245	0.1	0.2304272	0.1233985	0.2667245				
4	AABR07021988.1	R142	A0A0G2JVM2	Mia3	*	GeneProduct					ENSRNOG00000059202	A0A0G2JVM2	1	-0.0677799	0.1437532	-0.842382478973122	1	-0.0293007	0.5741067	-0.241007384753963	1	0.02424297	0.6700071	0.173920595098452	1	-0.03768644	0.4954238	-0.30502313388181	1	0.05584012	0.3853809	0.414109813370647	1	0.03865512	0.5740211	0.241072143411875	1	0.0370707	0.5491832	0.260282756684541	1	0.02549177	0.6692074	0.174439265316641	-0.842382478973122			-0.0677799	-0.0293007	0.02424297	-0.03768644	0.05584012	0.03865512	0.0370707	0.02549177	-0.0677799	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
5	AABR07030911.1	H156	AABR07030911.1	AABR07030911.1		GeneProduct																																										0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
6	AABR07034632.1	R314	P24090	Ahsg	*	GeneProduct					ENSRNOG00000038370	P24090	1	-0.1211985	0.05531359	-1.25716815374213	1	-0.01481468	0.8348662	-0.078383121232354	1	0.03837652	0.6202477	0.2074348375018	1	-0.02451255	0.7450325	-0.127824781932509	1	-0.1496801	0.007870558	-2.10399447631562	1	-0.09121405	0.1299561	-0.886203330367175	1	-0.05364471	0.3223584	-0.491661008480278	1	0.02576653	0.621967	0.206232657267539	-2.10399447631562			-0.1211985	-0.01481468	0.03837652	-0.02451255	-0.1496801	-0.09121405	-0.05364471	0.02576653	-0.1496801	0.1211985	0.1	0.1	0.1	0.1496801	0.1	0.1	0.1	0.1496801				
7	AABR07039112.1	H576	AABR07039112.1	AABR07039112.1		GeneProduct																																										0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1				
8	AABR07057436.1	K3	AABR07057436.1	AABR07057436.1	*	GeneProduct					ENSRNOG00000004391	P55006	1	0.2586562	0.0141337	1.84974413119926	1	-0.03000603	0.8001003	-0.0968555667504163	1	0.1172069	0.3640503	0.438838606726679	1	0.1482345	0.2381243	0.623196283648375	1	-0.0002708343	0.9960776	-0.0017068262961769	1	0.1280764	0.02958989	1.52885664932	1	0.1143873	0.03086191	1.51057719956932	1	0.1375557	0.007073701	2.15035330143312	2.15035330143312			0.2586562	-0.03000603	0.1172069	0.1482345	-0.0002708343	0.1280764	0.1143873	0.1375557	0.2586562	0.2586562	0.1	0.1172069	0.1482345	0.1	0.1280764	0.1143873	0.1375557	0.2586562				
9	AABR07058464.1	R144	A0A0G2JXY3	Apol7a-Apol9	*	GeneProduct					ENSRNOG00000052981	A0A0G2JXY3	1	0.05795684	0.6588601	0.181206792155776	1	-0.1822213	0.2204785	-0.656633754434745	1	0.08817741	0.5856456	0.232365115253346	1	0.1460325	0.3508257	0.454908599572366	1	0.06959859	0.7123075	0.147332482875048	1	-0.05912782	0.7703129	-0.113332829190717	1	-0.1128694	0.5359115	-0.270906923432308	1	0.0236539	0.8925205	0.0493817999388697	-0.656633754434745			0.05795684	-0.1822213	0.08817741	0.1460325	0.06959859	-0.05912782	-0.1128694	0.0236539	-0.1822213	0.1	0.1822213	0.1	0.1460325	0.1	0.1	0.1128694	0.1	0.1822213				
10	AABR07058476.1	R240	F1M512	Apol11a	*	GeneProduct					ENSRNOG00000023122	F1M512	1	-0.0763772	0.7673084	-0.115030047395932	1	-0.3040755	0.3080272	-0.511410931914056	1	-0.06633463	0.8378481	-0.0768347108583708	1	-0.2009219	0.5221684	-0.282189413862898	1	0.2133557	0.5912877	0.228201155125176	1	0.0288236	0.9461827	0.0240249968531088	1	-0.2368442	0.5407435	-0.267008692288499	1	0.1123523	0.7609167	0.118662884241861	-0.511410931914056			-0.0763772	-0.3040755	-0.06633463	-0.2009219	0.2133557	0.0288236	-0.2368442	0.1123523	-0.3040755	0.1	0.3040755	0.1	0.2009219	0.2133557	0.1	0.2368442	0.1123523	0.3040755				
